================ Coverage for /Users/shurtj/Development/khoros/ ================
------------------------------ Detailed Coverage -------------------------------
| Name                                                                  |  Status |
|       Khoros.Node.get_creation_date (L2205)                           | COVERED |
|       Khoros.Node.get_depth (L2224)                                   | COVERED |
|       Khoros.Node.get_position (L2241)                                | COVERED |
|       Khoros.Node.is_hidden (L2258)                                   | COVERED |
|       Khoros.Node.get_views (L2275)                                   | COVERED |
|     Khoros.Role (L2292)                                               | COVERED |
|       Khoros.Role.__init__ (L2294)                                    | COVERED |
|       Khoros.Role.get_total_role_count (L2304)                        | COVERED |
|       Khoros.Role.get_roles_for_user (L2330)                          | COVERED |
|     Khoros.Studio (L2341)                                             | COVERED |
|       Khoros.Studio.__init__ (L2343)                                  | COVERED |
|       Khoros.Studio.sdk_installed (L2351)                             | COVERED |
|       Khoros.Studio.get_sdk_version (L2361)                           | COVERED |
|       Khoros.Studio.node_installed (L2371)                            | COVERED |
|       Khoros.Studio.get_node_version (L2381)                          | COVERED |
|       Khoros.Studio.npm_installed (L2391)                             | COVERED |
|       Khoros.Studio.get_npm_version (L2401)                           | COVERED |
|     Khoros.User (L2411)                                               | COVERED |
|       Khoros.User.__init__ (L2413)                                    | COVERED |
|       Khoros.User.create (L2421)                                      | COVERED |
|       Khoros.User.delete (L2452)                                      | COVERED |
|       Khoros.User.get_user_id (L2463)                                 | COVERED |
|       Khoros.User.get_username (L2489)                                | COVERED |
|       Khoros.User.get_login (L2515)                                   | COVERED |
|       Khoros.User.get_email (L2521)                                   | COVERED |
|       Khoros.User.get_ids_from_login_list (L2547)                     | COVERED |
|       Khoros.User.query_users_table_by_id (L2559)                     | COVERED |
|       Khoros.User.get_user_data (L2571)                               | COVERED |
|       Khoros.User.get_album_count (L2587)                             | COVERED |
|       Khoros.User.get_followers_count (L2603)                         | COVERED |
|       Khoros.User.get_following_count (L2619)                         | COVERED |
|       Khoros.User.get_images_count (L2635)                            | COVERED |
|       Khoros.User.get_public_images_count (L2651)                     | COVERED |
|       Khoros.User.get_messages_count (L2668)                          | COVERED |
|       Khoros.User.get_roles_count (L2684)                             | COVERED |
